deutsch,english
Gestern,Yesterday
getragen,worn
profitieren,benefit
japanische,Japanese
Internationalen,International
geprüft,checked
sparen,save
Systems,Systems
Stadtteil,district
hauptsächlich,primarily
Robert,Robert
versichert,insured
vorgeschlagen,proposed
hinein,inside
Co,Co
Brasilien,Brazil
späten,late
Gesetze,laws
Neues,New
irgendwann,sometime
Nordrhein-Westfalen,North Rhine-Westphalia
unseres,our
Maschine,machine
ostdeutschen,East German
beobachten,observe
Typ,type
Seele,Soul
Not,Emergency
Dienstleistungen,Services
Bord,Board
rechtzeitig,punctual
BMW,BMW
zuviel,too much
Zentimeter,centimeter
katholischen,Catholic
Später,Later
Ereignisse,events
offene,open
Identität,identity
folgte,followed
Bahnhof,Railroad station
hielten,held
allenfalls,at most
spanischen,Spanish
chinesischen,Chinese
Anfrage,Inquiry
serbischen,Serbian
Produkt,product
Australien,Australia
A.,A.
Landschaft,Landscape
Regierungen,Governments
Niedersachsen,Lower Saxony
Schmidt,Schmidt
beschäftigen,occupy
Große,Size
Vorteile,Advantages
leiden,suffer
arbeitete,work
bayerische,Bavarian
passieren,happen
Regie,Director
Eigentlich,Actually
übrig,left over
kleines,small
höchstens,at most
Bemühungen,efforts
Märkte,Markets
wert,value
Pfarrer,Pastor
ungefähr,approximately
zentrale,central
warnt,warns
beinahe,almost
Microsoft,Microsoft
vor Ort,on site
Mischung,mixture
desto,the more
Vorgehen,Proceed
Oper,opera
zentralen,central
sowieso,anyway
liefert,delivers
ruft,calls
Niemand,No one
Weltmeister,World champion
Kern,core
Beziehung,Relationship
jüngste,youngest
aufmerksam,attentive
seitdem,since
Reisen,Travel
führten,led
Arbeitsmarkt,labor market
Fuß,Foot
bleibe,stay
leer,empty
Beobachter,observer
vermitteln,convey
Republikaner,republican
Verteidigung,defense
überrascht,surprised
unverändert,unchanged
Werken,works
klein,small
Manche,Some
öffnen,open
schätzt,estimates
Bus,bus
Toten,Kill
zogen,pulled
mancher,some
besitzen,own
Hotels,Hotels
Rebellen,rebels
Ausgleich,compensation
gefeiert,celebrated
Ereignis,Event
Benutzer,user
erhöhte,increased
Reuter,Reuter
Methoden,methods
Feuerwehr,Fire department
angegeben,specified
Darin,In it
Reihen,rows
erzielte,achieved
WM,World Cup
übernahm,took over
Abschied,Farewell
behalten,keep
Lande,Land
nationale,national
entscheidenden,decisive
wartet,waits
israelische,Israeli
Universitäten,Universities
Stärke,Strength
nunmehr,now
gelegentlich,occasionally
anzeigen,show
verändern,change
türkische,Turkish
Bäume,Trees
finanzieren,finance
Briten,British
gerät,device
selben,the same
Ihrer,your
Vortrag,Speech
Kommunikation,communication
bedeuten,mean
halt,stop
IG Metall,IG Metall
Analysten,Analysts
Hongkong,Hong Kong
schlechter,worse
Vorbereitung,Preparation
Davon,Of that
Katastrophe,disaster
getrennt,separated
Figur,figure
derart,such
Schlüssel,Key
Stücke,pieces
Bündnis,alliance
geschieht,happens
Liter,liter
in Kraft,in force
Mauer,Wall
Erkenntnis,knowledge
paßt,fits
Kongreß,Congress
Hoffnungen,hopes
späteren,later
Marke,brand
Kenntnis,knowledge
Mannes,man
Umständen,circumstances
greift,attacks
saß,sat
Details,Details
unmöglich,impossible
Nachrichtenagentur,news agency
fragte,asked
gewiß,certainly
Belastung,Burden
namens,called
beweisen,prove
verfügen,have
Anschlag,stop
Gebieten,areas
zahlt,pays
Kaum,Barely
höchst,maximum
Pressekonferenz,press conference
falschen,false
Bundesländer,federal states
langfristig,long-term
schlechten,bad
Lösungen,Solutions
gestartet,started
Andererseits,on the other hand
konkrete,specific
Hat,Has
Fortsetzung,Continued
Bundesrat,Federal Council
Gesellschaften,Societies
Tendenz,trend
falsche,false
lehnte,declined
zuständige,responsible
Helden,Heroes
sichtbar,visible
Aufmerksamkeit,Attention
setzten,set
Stefan,Stefan
Regen,Rain
vorne,in front
lief,ran
geboten,offered
solch,such
Genehmigung,permit
Milliarde,billion
dauern,last
häufiger,more often
Kilogramm,kilogram
Bereitschaft,readiness
Meine,Mine
Besitzer,Owner
eigentliche,actual
Partie,game
Elisabeth,Elisabeth
Magistrat,Magistrate
Unser,Our
doppelt,double
Auseinandersetzungen,Disputes
dich,you
Kollege,Colleague
militärischen,military
ältere,older
fürchten,fear
Problemen,problems
Arten,species
diejenigen,those
Holz,Wood
Erweiterung,Extension
Denken,Think
Bewertung,Evaluation
deutliche,clear
Europäischen,European
entscheidende,crucial
Spielen,Play
Landkreis,district
Düsseldorfer,Düsseldorf
informieren,inform
geringer,less
Jede,Every
Bundesländern,federal states
Aufgrund,Because of
Variante,variant
Schwester,Sister
Aufsichtsrat,Supervisory Board
festlegen,establish
fortgesetzt,continued
Beteiligten,Participants
Bürgern,citizens
Schäden,damages
Sind,Are
nein,no
betreiben,operate
positiven,positive
neuen Bundesländern,new federal states
übergeben,hand over
Frankreichs,France's
Internationale,International
Zeitschrift,magazine
Mitteilung,notice
Lehre,Teach
gefördert,funded
kleinere,smaller
geeignet,suitable
Weihnachten,Christmas
Umfrage,Opinion poll
Mieter,Renter
halb,half
Berg,Mountain
Kroatien,Croatia
Herbert,Herbert
nochmals,again
registriert,registered
Tempo,tempo
Spannung,Tension
Klima,climate
Alten,Old
allgemeine,general
See,lake
Bewerber,applicants
irgendwie,somehow
Freundin,Girlfriend
Pflicht,Duty
erweitert,expanded
Papst,Pope
Widerspruch,Contradiction
teilnehmen,participate
Trennung,separation
welchem,which
erstellt,created
Nase,Nose
erklärten,explained
unterscheiden,differentiate
sicherlich,surely
Schulden,Debts
senken,reduce
Herzog,duke
entscheidend,decisive
Stoff,Material
gerecht,just
VW,VW
besucht,visited
enttäuscht,disappointed
Architekten,architects
Anzeige,Advertisement
Überlegungen,considerations
festen,firm
hessischen,Hessian
stiegen,rose
ersetzen,substitute
Aktionäre,Shareholders
verhandelt,negotiated
zweiter,second
sorgte,caused
Otto,Otto
Privatisierung,privatization
Auftakt,Opening
zweier,two
richtet,directs
Einheiten,Units
Versuche,Try
Zellen,cells
Mengen,Quantities
beziehen,relate
führende,leading
Schiff,Ship
umfaßt,includes
Inszenierung,Staging
Begegnung,encounter
ähnliche,similar
Großteil,majority
Theorie,theory
Gerhard Schröder,Gerhard Schröder
denke,think
vermittelt,conveyed
in Sachen,in matters
demokratischen,democratic
Zürich,Zurich
Stellungnahme,opinion
welches,which
erschossen,shot
gekauft,bought
Maß,measure
Dienste,Services
gesperrt,blocked
Gestalt,shape
Stein,Stone
Neubau,New building
weisen,show
harten,hard
forderten,demanded
feiert,celebrates
extrem,extreme
allgemein,generally
Diesen,This
voran,forward
Versorgung,supply
Eis,Ice
billiger,cheaper
überprüfen,check
Mannheim,Mannheim
betrifft,regards
verwies,referred
Demonstranten,demonstrators
minus,minus
mögen,like
Notwendigkeit,need
überlassen,left
lädt,loads
schicken,send
vorhandenen,existing
notwendige,necessary
Foto,photo
Bezeichnung,Designation
finanziell,financially
Dank,Thanks to
Schneider,Schneider
ehe,before
Image,image
Belgien,Belgium
gefährlich,dangerous
betrieben,operated
Freiburg,Freiburg
Steigerung,increase
durchschnittlich,average
Schwerpunkt,focus
baut,builds
elektronischen,electronic
Rußlands,Russia's
Dokumentation,documentation
Ablehnung,Rejection
dargestellt,shown
geklärt,clarify
Brücke,Bridge
dreißig,thirty
Bewußtsein,Consciousness
glücklich,happy
alleine,alone
Einstellungen,Settings
ferner,further
gewachsen,grown
empfiehlt,recommends
errichtet,erected
egal,doesn't matter
legten,laid
Einstieg,Entry
beteiligten,involved
Osteuropa,Eastern Europe
scheinbar,apparently
Reich,Rich
kostenlos,for free
Anteile,Shares
älteren,older
geriet,got
Ärger,Trouble
Länge,length
Verzicht,renunciation
Elemente,elements
gesorgt,provided
Menschenrechte,Human rights
weiße,white
Gestaltung,Design
Teams,Teams
gebildet,educated
ruhig,quiet
Premierminister,prime minister
kurzfristig,short term
Jerusalem,Jerusalem
Geräte,Devices
Mund,mouth
Lafontaine,Lafontaine
Vereins,Club
gefahren,driven
Früher,Earlier
Jugoslawien,Yugoslavia
L,L
jenseits,beyond
wechseln,change
versuchten,tried
sank,sank
samt,velvet
polnischen,Polish
Autobahn,Highway
grüne,green
gehörten,belonged
Herkunft,Origin
Rückzug,retreat
David,David
Potsdam,Potsdam
Hinzu,In addition
Bill Clinton,Bill Clinton
Garten,Garden
betragen,be
dpa-AFX,dpa-AFX
diskutieren,discuss
Architektur,architecture
sterben,die
Teufel,Devil
Kommunisten,Communists
erzielen,achieve
Verteidigungsminister,Defense Minister
Fahrzeug,vehicle
Bestand,Inventory
Moderne,Modern
John,John
Institutionen,Institutions
Viel,Much
womöglich,possibly
Lauf,Run
beschränkt,limited
Glas,Glass
aufgehoben,lifted
Szenen,scenes
wahr,true
lebenden,living
auftreten,appear
Vorfeld,Aprob
ansonsten,otherwise
Transport,transport
zeichnet,draws
Strafe,Penalty
hinten,rear
jetzigen,current
neuesten,newest
Bett,Bed
bestätigen,confirm
gesunken,sun
erhielten,received
Parteitag,Party congress
Krieges,war
Verbot,prohibition
Beispiele,Examples
sahen,saw
Sendung,Broadcast
verbreitet,spread
erfolgreichen,successful
Vielmehr,Rather
Eintritt,admission
gezahlt,paid
Belgrad,Belgrade
kümmern,take care
zustande,a
Durchschnitt,Average
Vordergrund,foreground
antreten,compete
teurer,more expensive
Solidarität,solidarity
steigern,increase
wünschen,wish
Philosophie,philosophy
gesetzlichen,statutory
Ganze,Whole
Türen,Doors
US-Dollar,US dollars
Alfred,Alfred
riesigen,huge
vergeblich,vain
zumeist,mostly
konzentrieren,focus
Maler,painter
Manchmal,Sometimes
raus,out
schlicht,simply
bereitet,prepares
Hochschule,college
Bundestrainer,national coach
veranstaltet,organized
unklar,unclear
Vorgänge,processes
großem,large
Perspektive,perspective
bewertet,rated
Kaiser,Emperor
breit,broad
lehnt,lean
üblich,usual
Signal,signal
maximal,maximum
Klinik,clinic
Käufer,buyer
Dame,lady
entschlossen,determined
reagierte,reacted
einziger,only
bestehe,exists
Auflösung,resolution
Forum,forum
brachten,brought
Beine,Legs
Küche,Kitchen
Glauben,Believe
schwierigen,difficult
Customizing,Customizing
gelöst,solved
Griff,Handle
wahren,true
Züge,Trains
akzeptieren,accept
gemeint,meant
Betreuung,Care
gestalten,design
betrug,fraud
inneren,inner
erteilt,granted
Ausschuß,Committee
dreimal,three times
Dax,DAX
Gedichte,Poems
investieren,invest
verhaftet,arrested
Yen,yen
sowjetischen,Soviet
Mexiko,Mexico
vorigen,previous
abends,at evening
Palästinenser,Palestinians
menschliche,human
erwiesen,proven
bot,bot
Hauptversammlung,Annual General Meeting
innen,inside
Dänemark,Denmark
militärische,military
Argument,argument
Verantwortlichen,Responsible
Haut,skin
Angeklagte,accused
Aufwand,Expense
reine,pure
Distanz,distance
einstellen,set
Betrieben,operated
Zuvor,Before
RTL,RTL
Konjunktur,economic situation
Bernhard,Bernhard
irgendwo,somewhere
Park,park
sagten,said
Damen,Ladies
unterschiedlich,different
offizielle,official
umstrittenen,controversial
harte,hardness
Beschäftigte,Employees
Amtszeit,term of office
gesellschaftlichen,social
laufende,ongoing
Hinter,Behind
Konto,Account
International,International
Ursachen,causes
im übrigen,moreover
vorn,front
ausgezeichnet,excellent
gelesen,read
teilen,split
akzeptiert,accepted
absolut,absolutely
bestellt,ordered
verweist,refers
vieles,many
Überzeugung,conviction
Vermögen,Assets
Politikern,politicians
schnellen,fast
denkbar,conceivable
Fotos,Photos
gemessen,measured
freuen,be happy
Sprung,Jump
stimmen,voices
reichlich,plenty
Restaurant,restaurant
gestrichen,cancelled
gewarnt,warned
achten,regard
abgeben,hand over
Friedrich,Frederick
Akten,Files
Küste,coast
wirtschaftlich,economically
jüngst,recently
berufen,appointed
schnelle,fast
Briefe,Letters
räumte,cleared
Kaffee,Coffee
Gelder,funds
Symbol,symbol
Gebühren,Fees
kleineren,smaller
Europäer,Europeans
Johann,Johann
Interessenten,Interested parties
entscheidet,decides
teilt,shares
Italiener,Italian
Parameter,parameter
Freunden,friends
verschwunden,disappeared
stecken,put
garantiert,guaranteed
Zuwachs,growth
Gerechtigkeit,justice
Rand,edge
Angestellten,employees
Haushalte,households
weltweiten,worldwide
ausgestattet,equipped
Club,Club
nieder,low
bestehende,existing
einfache,simple
geschätzt,estimated
UNO,U.N.
B.,B.
Moskauer,Moscow
Spekulationen,Speculation
nachmittag,afternoon
produzieren,produce
Ebenso,As well
Mühe,Effort
Phantasie,imagination
Berater,Advisor
Medizin,medicine
geleistet,performed
stößt,encounters
Tode,Deaths
teil,part
vorwiegend,predominantly
konzentriert,concentrated
Umweltschutz,environmental protection
vgl,cf.
freiwillig,voluntarily
verursacht,caused
H.,H.
Alte,Old
Steuerreform,Tax reform
FR,FR
Hafen,Harbor
allmählich,gradually
von Anfang an,from the beginning
Wirtschaftsminister,Minister of Economic Affairs
überzeugen,convince
Kurden,Kurds
teils,part
Diskussionen,Discussions
Vorgänger,predecessor
Konzentration,concentration
verschiedener,various
Jahrzehnte,decades
veröffentlichten,published
begeistert,enthusiastic
beenden,finish
Richard,Richard
Tagesordnung,agenda
Fleisch,Meat
Barcelona,Barcelona
Schnitt,cut
Drogen,Drugs
mitgeteilt,notified
leitet,leads
nachts,at night
Anwohner,Residents
Export,export
Regel,Rule
mittels,by
besuchen,visit
Handlung,Plot
erworben,acquired
brach,broke
breiten,wide
Gerät,Device
Ohren,ears
konkreten,specific
Würde,Would
gäbe,would
Ablauf,Sequence
fließen,flow
Bezug,Relation
Ukraine,Ukraine
Eingang,Entrance
entschied,decided
Flugzeug,Airplane
Erkenntnisse,Findings
Stock,stock
aussehen,look
froh,glad
treibt,drives
Haben,Have
einfachen,simple
gepflegt,well-maintained
gestanden,confessed
beitragen,contribute
Zähler,counter
beantragt,applied for
Gefühle,feelings
ergab,resulted
Wesen,Nature
betreibt,operates
brauche,need
überprüft,checked
Auflage,Edition
besetzten,occupied
Erinnerungen,Memories
Jazz,jazz
untergebracht,accommodated
Stern,star
Mangel,Shortage
interessant,interesting
Tasche,Bag
Scharping,Scharping
verschoben,delay
Hund,Dog
Barbara,Barbara
volle,full
melden,report
d.h.,i.e.
Demonstration,demonstration
weshalb,for what reason
berühmten,famous
Dokument,document
Öl,oil
EU-Kommission,EU Commission
anerkannt,recognized
genannten,mentioned
berichteten,reported
echte,real
DW,DW
reduzieren,reduce
Bundes,Federal
komplett,completely
Verbindungen,Connections
Mainz,Mainz
sprachen,languages
fliegen,fly
liebsten,I love you
folgende,following
Maßnahme,measure
Konzerns,Group
Gemeinderat,Municipal Council
Hinsicht,Regarding
benutzen,use
richten,direct
Mehrere,Several
Adresse,address
Asylbewerber,asylum seekers
eine Reihe von,a number of
Ludwigsburg,Ludwigsburg
Meldung,Report
Modelle,Models
Schließung,closure
Umbau,renovation
speziell,special
Vaters,father's
verlangte,demanded
Fachleute,experts
Chaos,chaos
Zehn,Ten
abgesehen,apart from
auf jeden Fall,in any case
Reaktionen,Reactions
monatlich,monthly
Operation,operation
geäußert,expressed
hinnehmen,accept
gebraucht,needed
Krankenkassen,Health insurance companies
fünfzig,fifty
bestand,consisted
Report,report
Türken,Turks
Kroaten,Croatians
dachte,thought
verbindet,connects
Papiere,papers
Liga,league
Mir,Me
Kombination,combination
Studien,Studies
Maße,Mass
einerseits,on the one hand
Büros,offices
Entwicklungen,Developments
scharf,sharp
wissenschaftlichen,scientific
teure,expensive
ausgebaut,expanded
teuren,expensive
Gremium,committee
Bildschirm,Screen
Eigenschaften,Characteristics
Zum Beispiel,For example
Staatsanwalt,Public prosecutor
Geschwindigkeit,speed
optimistisch,optimistic
innere,inner
überlegen,superior
hoffe,hope
dir,you
Sätze,Sentences
gefaßt,composed
anhand,based
formuliert,formulated
Chinas,China's
räumt,clears
Ehefrau,Wife
gewissen,conscience
morgens,morning
erfassen,capture
J.,J.
Stars,Stars
Absatz,Paragraph
Sturm,Storm
begrenzt,limited
im Gegensatz zu,as opposed to
Eigentümer,owner
klagt,complains
löst,solves
Staatssekretär,State Secretary
Ihrem,your
Militärs,military
finde,find
Aufstieg,Ascent
Gebiete,areas
Genossen,Comrades
Kinkel,Kinkel
Rente,pension
kommende,upcoming
Marktanteil,market share
Ware,Goods
kämen,come
ergänzt,added
Genf,Geneva
gestaltet,designed
normale,normal
Katalog,catalog
stünden,would be
heutige,today
Veränderung,change
Systeme,Systems
vierte,fourth
Datum,Date
Arbeitsplätzen,jobs
Finger,finger
Zufall,Coincidence
Wolf,wolf
Standard,standard
Griechenland,Greece
Rechtsanwalt,lawyer
Unterschiede,Differences
verschwinden,disappear
betreut,supervised
demnach,according to
Dokumente,Documents
Armut,Poverty
verfolgen,track
erfolgreiche,successful
Gebrauch,use
Steuer,Tax
Prag,Prague
zurückzuführen,to be attributed
hinterher,after
S,S
Kampagne,campaign
Tanz,dance
bezieht,refers
Geburt,birth
existiert,exists
startet,starts
Hermann,Hermann
Geheimnis,Secret
Ansprüche,Claims
Arm,arm
Lange,Long
wirkte,seemed
Rudolf,Rudolf
Arme,poor
treiben,to drive
Umzug,Relocation
Verletzung,Injury
Lasten,loads
lässt,lets
Theo Waigel,Theo Waigel
Premier,premier
Scheitern,Fail
unterzeichnet,signed
Muster,Pattern
Lufthansa,Lufthansa
befand,was
Sicherung,Security
abgegeben,submitted
gewünschten,desired
jahrelang,years
aufgegeben,abandoned
abgebaut,dismantled
Masse,mass
Abzug,Deduction
begrüßt,welcomed
käme,would come
zitiert,quoted
drücken,press
niedriger,lower
kurzer,short
kontrolliert,controlled
Radio,radio
verlegt,moved
freut,happy
Anschließend,Afterward
erheblichen,significant
versprochen,promised
spezielle,special
fünften,fifth
breite,width
Verlängerung,extension
Angehörigen,relatives
Star,star
Gegend,Area
direkten,direct
Karte,Map
Schätzungen,Estimates
letzter,last
erinnerte,remembered
Instituts,Institute
Generalsekretär,Secretary General
schauen,look
seinerzeit,at that time
Turnier,tournament
leichte,light
i,i
Technologie,technology
Ost,East
Profis,Professionals
Kiel,Kiel
Genau,Exactly
engen,narrow
absolute,absolute
Fritz,Fritz
Handeln,Act
Aufschwung,upswing
Vertretern,representatives
Nazis,Nazis
Wilhelm,Wilhelm
aufgestellt,set up
Kilometern,kilometers
gesteigert,increased
Unterdessen,Meanwhile
Minus,Minus
Zentrale,Headquarters
Paar,Couple
Religion,religion
Seitdem,Since
österreichischen,Austrian
Beifall,Applause
Merkmale,Features
Grundstück,Property
TAGESSPIEGEL,TAGESSPIEGEL
halbes,half
Tschetschenien,Chechnya
Sarajewo,Sarajevo
Kurt,Kurt
Herrschaft,rule
verbinden,connect
wissenschaftliche,scientific
Tier,animal
gesenkt,lowered
Verteidiger,defender
Öffnung,opening
drohen,threaten
einziges,only
umgekehrt,vice versa
Konflikte,conflicts
Ähnlich,Similar
Baum,Tree
Kapitän,captain
planen,plan
U,U
ots,ots
betrachten,regard
Front,front
geliefert,delivered
Gastgeber,host
entsprechen,are equivalent to
Angelegenheit,matter
Stadion,stadium
trennen,separate
lebte,lived
längere,longer
Gefahren,Driven
Produkten,products
Senkung,Reduction
kritisch,critical
Anschluß,Connection
gegenseitig,each other
Darmstadt,Darmstadt
wachsenden,growing
Böblingen,Böblingen
wuchs,growth
Spenden,Donate
zugelassen,approved
Lastwagen,truck
klären,clear up
Ulrich,Ulrich
Schönheit,beauty
Antworten,Answer
Milosevic,Milosevic
Bezirk,district
Liberalen,Liberals
Vielzahl,variety
feststellen,notice
Abschaffung,abolition
in der Tat,Indeed
geringen,low
erkennt,recognizes
Sozialhilfe,social assistance
Stabilität,stability
Einzelheiten,Details
Orchester,orchestra
Eigener,Own
Deutsch,German
Sänger,Singer
durchs,through
Kämpfe,Fights
Fraktionen,Factions
klaren,clear up
Weiter,Further
erzeugen,generate
vorübergehend,temporary
Franc,franc
beklagt,complains
elektronische,electronic
gibt's,is there
bezogen,related
Anlegen,Invest
derzeitigen,current
Graf,Count
Unterricht,Instruction
Stadtverwaltung,City administration
Krankheiten,Diseases
Kommentar,comment
Etat,budget
tiefer,deeper
Minderheit,minority
Index,index
Ankündigung,announcement
Brigitte,Brigitte
eigentlichen,actual
beigetragen,contributed
Umsätze,Sales
tat,did
einstigen,former
durchgesetzt,enforced
seither,since then
Aufruf,call
rufen,call
Rumänien,Romania
Augsburg,augsburg
Einladung,Invitation
gewährt,granted
bewiesen,proven
Regelungen,Regulations
West,West
bricht,breaks
Landrat,District Administrator
zugute,benefit
hingewiesen,pointed out
langer,long
versicherte,insured
streng,strictly
Hunderte,Hundreds
Unterlagen,Documents
Schlag,hit
sammeln,collect
Instrument,instrument
Bischof,bishop
holte,got
Aussichten,Outlook
Kredite,Loans
äußern,express
TV,TV
Verteilung,distribution
achtziger Jahre,eighties
Proteste,Protests
hohem,high
geringe,low
Bestandteil,ingredient
Vorschriften,Regulations
Israels,Israel's
Westdeutschland,West Germany
Joachim,Joachim
jederzeit,at any time
suchte,searched
Botschafter,ambassador
Tageszeitung,Daily newspaper
Infrastruktur,Infrastructure
ändert,changes
Bayerischen,Bavarian
NATO,NATO
verlängert,extended
aller Welt,all over the world
geworfen,thrown
Respekt,respect
Subventionen,Subsidies
derartige,such
lieben,love
Ring,ring
technisch,technically
Plänen,plans
angesehen,viewed
Deutsche Bank,Deutsche Bank
englische,English
Akt,act
Vogel,Bird
sinken,sink
Mercedes,Mercedes
Herausforderung,Challenge
wenden,turn around
lsw,lsw
Frankfurt/Main,Frankfurt/Main
hierzu,this
Wandel,change
Angestellte,Employee
Handwerk,Craftsmanship
Tote,dead
Stoiber,Stoiber
singen,sing
Bekämpfung,Control
Ensemble,ensemble
Besetzung,occupation
Erstmals,For the first time
belegen,prove
perfekt,perfect
gemäß,according to
gesammelt,collected
Helfer,helper
Definition,definition
wider,against
versorgt,provided
Jobs,Jobs
Show,show
Volkes,people
Verbände,Associations
Bearbeitung,editing
Flächen,areas
Rainer,Rainer
empfangen,received
konsequent,consistently
sozusagen,so to speak
lauter,loud
Datenbank,database
wohnen,reside
Institute,Institute
dicht,dense
Darauf,On it
Delegierten,Delegates
Offenbach,Offenbach
Alkohol,alcohol
eingeleitet,initiated
Bevor,Before
vermuten,assume
Hanau,Hanau
ca,approx
drohte,threatened
Jan,Jan
Daneben,In addition
ehemaliger,former
Erzählung,narrative
Uwe,Uwe
Arbeitslosen,unemployed
ernsthaft,seriously
Streik,strike
gefällt,pleases
Armen,Poor
schaut,looks
jenem,that
schuldig,guilty
erfährt,learns
Niederlanden,Netherlands
Statistik,statistics
Kreisen,circles
Medikamente,Medications
Bürgerhaus,Community Center
verhandeln,negotiate
Gegenstand,Object
Oberfläche,surface
befreit,freed
verhalten,behave
griechischen,Greek
PC,PC
ermordet,murdered
amerikanischer,American
binnen,within
kulturellen,cultural
Konsequenz,consequence
drängen,urge
Heidelberg,Heidelberg
hab,have
erläuterte,explained
City,City
stärken,strengthen
anläßlich,on the occasion of
verkündet,announced
Zusammen,Together
stieß,encountered
Gas,gas
gezielt,targeted
Quelle,source
Volumen,volume
Schaffung,creation
Malerei,painting
Madrid,Madrid
Sechs,Six
K.,K.
Verpflichtung,engagement
handele,trade
Tiefe,depth
Stufe,Level
Mütter,mothers
Zeilen,lines
Leider,Unfortunately
studierte,studied
engagiert,committed
verweigert,refused
Ihm,Him
eines Tages,one day
dran,your turn
verteidigen,defend
stelle,position
Laden,Load
daneben,besides
einzig,only
Temperaturen,Temperatures
Preisen,Prices
bedient,operate
rechte,right
rote,redness
jüdische,Jewish
Träger,carrier
genaue,precise
überschritten,exceeded
Ehre,Honor
wahre,true
wieviel,how much
ausgeführt,executed
Anträge,Applications
Esslingen,Esslingen
endete,ended
Angriffe,attacks
Chemie,Chemistry
Serbien,Serbia
mehrmals,several times
Kleinen,Small
Einsparungen,Savings
einander,each other
internen,internal
eigens,specifically
Sponsoren,Sponsors
Streitkräfte,Armed Forces
leidet,suffers
vorsichtig,cautious
genauer,more precisely
Klassen,classes
Bitte,Please
darstellen,represent
politisches,political
Häusern,houses
Truppe,troop
bedarf,requirement
normal,normal
Telephon,telephone
Kassel,kassel
Rundfunk,Broadcasting
Schnee,Snow
Abrechnung,Invoice
stoppen,stop
damalige,then
Kriminalität,crime
erwarteten,expected
Thüringen,Thuringia
örtlichen,local
Schau,Look
versehen,provided
durchführen,carry out
speziellen,special
vollen,full
Nutzen,To use
Hinblick,With regard to
Tagung,meeting
versetzt,moved
Zuordnung,Assignment
südlich,south
D,D
schätzen,treasure
Sprachen,Languages
zurückkehren,return
chinesische,Chinese
riesige,huge
kämpft,fight
Stich,engraving
Begeisterung,enthusiasm
Innerhalb,Within
umfassende,comprehensive
zustimmen,agree
Bewegungen,movements
Nürnberger,Nuremberg
inszeniert,staged
kritischen,critical
ökologischen,ecological
zugestimmt,agreed
Tour,tour
genehmigt,approved
Nummer eins,Number one
Ausgang,Exit
These,thesis
Sachen,Things
Mode,fashion
Müll,Garbage
zufällig,randomly
zurückgewiesen,rejected
Absage,Cancellation
Sand,sand
Profil,profile
gerufen,called
Vernunft,reason
Unglück,accident
Entlastung,Relief
Korruption,corruption
Amsterdam,Amsterdam
dreht,turns
feste,fixed
Zerstörung,destruction
Rhein,Rhine
Mörder,Murderer
fehlte,missing
Niederlande,Netherlands
All,All
Tourismus,tourism
Lohn,Salary
durchzusetzen,to enforce
Autorin,author
zurückgegangen,declined
Gottes,God
direkte,direct
mittleren,medium
Komponenten,Components
C,C
Ansatz,Approach
Einzelhandel,retail
Element,element
live,live
Historiker,historian
frisch,fresh
kritische,critical
singt,sings
Last,load
Vielfalt,diversity
klassische,classic
erlitten,suffered
Moral,Moral
Beschreibung,Description
trafen,met
Schiedsrichter,referee
deutsch,German
Vorsprung,projection
Hitler,Hitler
kulturelle,cultural
Sekunde,second
Erich,Erich
größter,largest
Kandidat,candidate
enge,narrow
Fluß,Flow
ähnlichen,similar
gefolgt,followed
Einmal,Once
meistens,mostly
Gegenüber,Opposite
westdeutschen,West German
passen,fit
regionalen,regional
Boris Jelzin,Boris Yeltsin
quer,across
Mediziner,Physicians
Günther,Günther
genießen,enjoy
Fortschritt,Progress
Gramm,grams
essen,eat
traditionelle,traditional
Prof,Prof
Marktwirtschaft,Market economy
leichten,light
entwickelten,developed
ursprünglichen,original
Militär,Military
Überraschung,Surprise
Vision,vision
FC Bayern,FC Bayern
Norwegen,Norway
wünscht,wishes
Stürmer,striker
gegenwärtigen,present
FRANKFURT,FRANKFURT
inklusive,including
Journalist,journalist
Station,station
sozialistischen,socialist
Rolf,Rolf
zuversichtlich,confident
Zweiten Weltkrieg,World War II
geeinigt,agreed
Ferner,Further
liebt,loves
ausgehen,go out
internationaler,international
unterscheidet,differs
Museen,Museums
Affäre,affair
serbische,Serbian
Töne,tones
intensiv,intensive
deutlicher,more clearly
fassen,grasp
Aufführung,performance
Zahlung,payment
Transaktion,transaction
Prognose,forecast
War,Was
versprach,promised
Wein,Wine
Mailand,Milan
Uni,University
Ursula,Ursula
evangelischen,Protestant
Portugal,Portugal
Vortag,previous day
Büchern,books
normalerweise,normally
meldet,reports
Motiv,Motif
ließe,let
Schleswig-Holstein,Schleswig-Holstein
Durchbruch,breakthrough
Wünsche,Wishes
erkennbar,recognizable
vornehmen,do
erleichtert,relieved
ausgewiesen,designated
Schumacher,Schumacher
Lieder,Songs
Fr,Fri
Geschehen,Happen
arabischen,Arabic
drin,inside
niedrigen,low
nutzt,uses
vielfach,many times
Christen,Christians
Wieder,Again
Versicherungen,Insurance
umstrittene,controversial
OB,WHETHER
Quellen,Sources
Wiedervereinigung,reunion
folgten,followed
Fakten,Facts
aufgelöst,resolved
Ägypten,Egypt
eröffnen,open
benötigen,need
gründete,founded
vertraut,trusted
Zuschüsse,grants
erhältlich,available
fortsetzen,continue
Hals,Neck
Inseln,islands
Zusätzlich,Additionally
